attributnamn	value	Definition
bestallare_tx	AF	ÅF
bestallare_tx	AFRY	AFRY, ÅF PÖRY AB -Tidigare ÅF-Pöyry, tidigare ÅF
bestallare_tx	ALCONTROL_LIN	Alcontrol AB - Linköping. Huvudkontor. År 2000-2019 från uppköp av Svelab/KM-Lab. Uppköpt av SYNLAB 2019
bestallare_tx	ALINGSAS	Alingsås kommun
bestallare_tx	ANALYTICA	Analytica AB. 1998 sammanslaget med SGAB. Från 2006 Uppköpt av ALS
bestallare_tx	AQUATICUS_MK	Aquaticus Miljökonsulter AB
bestallare_tx	ATRANS_VATTENRAD	Ätrans vattenråd
bestallare_tx	ATRAN_SRK	Gruppen för samordnad recipientkontroll i Ätran
bestallare_tx	ATVIDABERG	Åtvidabergs kommun
bestallare_tx	AU_DK	Aarhus Universitet, Århus Danmark
bestallare_tx	BOLIDEN	Boliden Mineral AB
bestallare_tx	BOLLNAS	Bollnäs kommun
bestallare_tx	BORAS	Borås kommun (Borås stad)
bestallare_tx	BORLANGE	Borlänge kommun
bestallare_tx	BOTKYRKA	Botkyrka kommun
bestallare_tx	BVVF	Bohuskustens vattenvårdsförbund
bestallare_tx	BlkVVF	Blekingekustens vattenvårdsförbund
bestallare_tx	CALLUNA	Calluna AB
bestallare_tx	DGE	DGE Mark och Miljö AB
bestallare_tx	ENSUCON	Ensucon AB
bestallare_tx	ENVIRO	EnviroPlanning AB
bestallare_tx	FALKENBERG	Falkenbergs kommun
bestallare_tx	FALUN	Falu kommun
bestallare_tx	FRIMANEKOAB	Friman Ekologikonsult AB
bestallare_tx	GAVLE	Gävle kommun
bestallare_tx	GAVV	Göta älvs vattenvårdsförbund
bestallare_tx	GVVF	Gästriklands vattenvårdsförening (GVVF)
bestallare_tx	HEBY	Recipientkontroll Heby kommun
bestallare_tx	HIFAB	Hifab AB
bestallare_tx	HKR	Högskolan Kristianstad
bestallare_tx	HOFORS	Hofors kommun
bestallare_tx	HOFORSHUS_AB	Hoforshus AB
bestallare_tx	HSVVF	Hedströmmens vattenvårdsförbund
bestallare_tx	HUDIKSVALL	Hudiksvalls kommun
bestallare_tx	HaV	Havs- och vattenmyndigheten
bestallare_tx	ITM	Institutionen för tillämpad miljövetenskap, Stockholms universitet. Övertog 1992  verksamheten från Naturvårdsverkets Specialanalytiska laboratorium, Nsl. Efter l 1 januari 2015, övergick ITM i ACES, bildad från Institutionen för tillämpad miljövetenskap, Institutionen för analytisk kemi samt avdelningen för miljökemi (från Institutionen för material- och miljökemi)
bestallare_tx	IVL	IVL Svenska Miljöinstitutet AB
bestallare_tx	KALMAR	Kalmar kommun
bestallare_tx	KAPPALAFORBUNDET	Käppalaförbundet
bestallare_tx	KARLSTAD	Karlstads kommun
bestallare_tx	KEMAKTA	Kemakta Konsult AB
bestallare_tx	KEMI	Kemikalieinspektionen
bestallare_tx	KLIPPAN	Klippans kommun
bestallare_tx	KLKVK	Kalmar läns kustvattenkommitté
bestallare_tx	KOLBVVF	Kolbäcksåns Vattenförbund
bestallare_tx	KOSRKLjungbyan	Kommittén för samordnad recipientkontroll i Ljungbyån
bestallare_tx	KRISTIANSTAD	Kristianstads kommun
bestallare_tx	KUNGSBACKA	Kungsbacka kommun
bestallare_tx	KVVF	Kalmar kustvattenvårdsförbund
bestallare_tx	LAGANS_VATTENRAD	Lagans vattenråd
bestallare_tx	LILJEMARK_CONSULT	Liljemark Consulting AB
bestallare_tx	LINKOPING	Linköpings kommun
bestallare_tx	LIVSMEDELSVERKET	Livsmedelsverket
bestallare_tx	LJUSDAL	Ljusdals kommun
bestallare_tx	LKAB	Luossavaara-Kiirunavaara Aktiebolag (LKAB)
bestallare_tx	LNU	Linnéuniversitetet
bestallare_tx	LRF	Lantbrukarnas Riksförbund
bestallare_tx	LST-AB	Länsstyrelsen i Stockholms län
bestallare_tx	LST-AC	Länsstyrelsen i Västerbottens län
bestallare_tx	LST-BD	Länsstyrelsen i Norrbottens län
bestallare_tx	LST-C	Länsstyrelsen i Uppsala län
bestallare_tx	LST-D	Länsstyrelsen i Södermanlands län
bestallare_tx	LST-E	Länsstyrelsen i Östergötlands län
bestallare_tx	LST-F	Länsstyrelsen i Jönköpings län
bestallare_tx	LST-G	Länsstyrelsen i Kronobergs län
bestallare_tx	LST-H	Länsstyrelsen i Kalmar län
bestallare_tx	LST-I	Länsstyrelsen i Gotlands län
bestallare_tx	LST-K	Länsstyrelsen i Blekinge län
bestallare_tx	LST-M	Länsstyrelsen i Skåne län
bestallare_tx	LST-N	Länsstyrelsen i Hallands län
bestallare_tx	LST-O	Länsstyrelsen i Västra Götalands län
bestallare_tx	LST-S	Länsstyrelsen i Värmlands län
bestallare_tx	LST-T	Länsstyrelsen i Örebro län
bestallare_tx	LST-U	Länsstyrelsen i Västmanlands län
bestallare_tx	LST-W	Länsstyrelsen i Dalarnas sän
bestallare_tx	LST-X	Länsstyrelsen i Gävleborgs län
bestallare_tx	LST-Y	Länsstyrelsen i Västernorrlands län
bestallare_tx	LST-Z	Länsstyrelsen i Jämtlands län
bestallare_tx	LULEA	Luleå kommun
bestallare_tx	LVVF	Ljusnan-Voxnans vattenvårdsförbund
bestallare_tx	LYCKSELE	Lycksele kommun
bestallare_tx	LYNX_MILJO	Lynx Miljökonsult AB
bestallare_tx	MALMO	Malmö kommun (Malmö stad)
bestallare_tx	MALUNG-SALEN	Malung-Sälens kommun
bestallare_tx	MARIESTAD	Mariestads kommun
bestallare_tx	MAVV	Mälarens vattenvårdsförbund
bestallare_tx	MEDINS	Medins Havs och Vattenkonsulter AB. Tidigare: Medins Biologi AB. Förvärvades i september 2023 av Sweco och är sedan 1 mars 2024 en integrerad del av Sweco Sverige AB
bestallare_tx	MILJOFORV_GBG	Miljöförvaltningen Göteborgs Stad
bestallare_tx	MILJOFORV_STH	Miljöförvaltningen Stockholms stad
bestallare_tx	MMAB	Marine Monitoring AB
bestallare_tx	MOTSTR	Motalaströms vattenvårsförbund
bestallare_tx	MOVV	Mörrumsåns vattenvårdsförbund
bestallare_tx	MSV	Motala Ströms Vattenvårdsförbund (MSV)
bestallare_tx	Miljonamnden_Malmo	Miljönämnden, Malmö kommun
bestallare_tx	NEDRE_ANGERMANALVEN_SRK	Gruppen för samordnad recipientkontroll i nedre Ångermanälven
bestallare_tx	NIRAS	NIRAS Sweden AB
bestallare_tx	NISSANS_VATTENRAD	Nissans vattenråd
bestallare_tx	NMR	Nordiska ministerrådet (NMR)
bestallare_tx	NORDANSTIG	Nordanstigs kommun
bestallare_tx	NRM	Naturhistoriska riksmuseet (NRM)
bestallare_tx	NV	Naturvårdsverket
bestallare_tx	NYBRO	Nybro kommun
bestallare_tx	NYKK	Nyköpings kommun
bestallare_tx	OCKELBO	Ockelbo kommun
bestallare_tx	OREBRO	Örebro kommun
bestallare_tx	ORNSKOLDSVIK_SRK	Gruppen för samordnad recipientkontroll i Örnsköldsvik
bestallare_tx	OSTERAKER	Österåkers kommun
bestallare_tx	OSTERSUND	Östersunds kommun
bestallare_tx	OVANAKER	Ovanåkers kommun
bestallare_tx	OVVF	Öresunds vattenvårdsförbund
bestallare_tx	OXELOSUND	Oxelösunds kommun
bestallare_tx	PELAGIA	Pelagia Nature & Environment AB
bestallare_tx	RAMBOLL	Ramboll Sverige
bestallare_tx	REGION_SKANE	Region Skåne
bestallare_tx	REGION_STOCKHOLM	Region Stockholm
bestallare_tx	RELEMENT	Relement Miljö Väst AB
bestallare_tx	SANDVIKEN	Sandvikens kommun
bestallare_tx	SBVV	Sundsvallsbuktens vattenvårdsförening
bestallare_tx	SEAB	Svensk Ekologikonsult AB
bestallare_tx	SGS_LIN	SGS Analytics Sweden AB - Linköping. Huvudkontor. Från 2021-04-08 efter uppköp av SYNLAB
